task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	5d/cda33d	10827	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2025-04-19 18:16:56.428	28.8s	25s	131.6%	1.1 GB	1.1 GB	44.8 MB	13.1 MB
15	92/adab0a	11681	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2025-04-19 18:17:25.372	11.1s	8s	237.6%	378.9 MB	3.3 GB	26.6 MB	3.8 MB
16	8e/9703c6	12250	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2025-04-19 18:17:36.496	3m 39s	2m 19s	203.0%	74.2 MB	709.1 MB	116.8 MB	107 MB
18	e6/1a71f2	15952	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2025-04-19 18:21:15.865	3m 20s	3m 17s	201.6%	83 MB	708.7 MB	173.2 MB	163.5 MB
17	72/c16b58	20978	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2025-04-19 18:24:35.511	9.1s	7s	241.1%	411.8 MB	3.3 GB	29.5 MB	3.8 MB
19	f1/a8cae2	21626	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2025-04-19 18:24:44.689	9.2s	7s	254.5%	329.6 MB	3.3 GB	27.9 MB	3.7 MB
20	68/532b5b	22194	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2025-04-19 18:24:53.937	59.5s	58s	203.3%	64.8 MB	711.3 MB	92.7 MB	84.5 MB
21	c1/0b89f5	24353	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2025-04-19 18:25:53.475	21.4s	19s	230.7%	460.1 MB	3.3 GB	60.2 MB	3.8 MB
22	60/6bf13e	25192	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2025-04-19 18:26:14.887	17m 29s	17m 27s	202.4%	80.6 MB	710.3 MB	820.8 MB	807.8 MB
23	67/71de01	7350	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2025-04-19 18:43:44.023	11.9s	10s	250.7%	438.1 MB	3.3 GB	33.5 MB	3.9 MB
24	6c/67723c	8107	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2025-04-19 18:43:55.947	1m 50s	1m 49s	200.6%	85 MB	716.2 MB	92.5 MB	83.1 MB
25	0c/21ebce	11331	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2025-04-19 18:45:46.460	3s	1s	203.5%	101.4 MB	2 GB	5.1 MB	4.6 MB
26	ad/f2bb9b	11595	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2025-04-19 18:45:49.547	3.3s	2s	230.6%	155.4 MB	1.9 GB	7.9 MB	7.2 MB
27	b8/dae1ca	11857	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2025-04-19 18:45:52.926	2.7s	2s	213.0%	88 MB	1.9 GB	7.8 MB	7.4 MB
28	c4/c35d29	12120	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2025-04-19 18:45:55.670	10.8s	9s	226.2%	728.9 MB	2 GB	35.5 MB	32.4 MB
29	eb/326949	12763	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2025-04-19 18:46:06.649	2.7s	1s	226.0%	32 MB	1.7 GB	12.1 MB	5.1 MB
30	64/cd09d2	13024	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2025-04-19 18:46:09.430	1.7s	0ms	160.6%	6.5 MB	220.9 MB	4.7 MB	5 KB
31	74/959b43	13227	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2025-04-19 18:46:11.128	1.8s	1s	179.7%	6.6 MB	220.9 MB	7.3 MB	5 KB
32	26/e96c8a	13428	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2025-04-19 18:46:12.957	1.5s	0ms	160.0%	6.6 MB	220.9 MB	7.5 MB	5 KB
33	05/8884b6	13628	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2025-04-19 18:46:14.832	3s	2s	201.8%	6.7 MB	220.9 MB	32.5 MB	5 KB
34	ff/bf1cc0	13883	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2025-04-19 18:46:17.901	1.6s	0ms	158.6%	6.5 MB	220.9 MB	5.2 MB	5 KB
48	ae/4de699	14096	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2025-04-19 18:46:19.864	2s	0ms	96.0%	3 MB	5.4 MB	108.6 KB	4.9 KB
42	d5/f479cf	14295	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2025-04-19 18:46:21.947	1.8s	1s	164.4%	6.6 MB	220.9 MB	7.5 MB	5.4 KB
